书名,作者,出版社,ISBN,出版年,分类号,索书号,记录ID
提高青少年判断能力的思维游戏,《提高青少年判断能力的思维游戏》写组,广东世界图书出版公司,978-7-5100-1978-4,2010,G898.2,G898.2/131,99998
海盗王的管理哲学,叶子,外文出版社,978-7-119-06396-6,2010,F270-49,F270-49/21,99994
"窗前,有鸟儿飞过",梁会平,北京日报出版社,978-7-5477-3010-2,2018,I267,I267/1812,9999
绿色经典 : 改编世界的新思维,"欧阳秀娟,贾娟",广东世界图书出版公司,978-7-5100-1165-8,2009,X,X/4,99985
静：心灵深处的力量 : 精华版,苏木禄,中国华侨出版社,978-7-5113-0003-4,2009,B825-49,B825-49/92,99984
苦菜花. 2,冯德英,时代文艺出版社,978-7-5387-2645-9,2010,I247.52,I247.5/139,99980
心理学增加你的智慧,袁丽萍,吉林出版集团股份有限公司,978-7-5581-4097-6,2018,B84-49,B84-49/182,9998
何谓经济学,刘冠楠,中央编译出版社,978-7-5117-0315-6,2010,F0,F0/53,99977
暴风骤雨,周立波,时代文艺出版社,978-7-5387-2644-2,2009,I247.51,I247.5/138,99974
放下心中的怨气,露露,台海出版社,978-7-5168-1693-6,2018,B848.4-49,B848.4-49/822,9997
满城尽带黄丝巾,季明,大众文艺出版社,978-7-80240-644-5,2010,I247.8,I247.8/199,99967
理学集大成者——朱熹,王荣珍,吉林文史出版社,978-7-5463-2009-0,2010,B244.75,B244.75/1,99964
拉卜楞寺,"运海园,金诚",吉林文史出版社,978-7-5463-3344-1,2010,B947.24,B947.242.4/2,99962
我如此的深爱这个世界,(英)乔治·吉辛,江苏凤凰文艺出版社,978-7-5594-0673-6,2018,I561.64,I561.64/24,9996
教育管理理论教程,胡小萍,江西高校出版社,978-7-81075-254-1,2013,G46,G46/19:2,99959
双螺旋塔 : 李正文诗选,李正文,吉林文史出版社有限责任公司,978-7-5472-5918-4,2019,I227,I227/465,9995
你的心有多宽，未来就能走多远,仲念念,民主与建设出版社有限责任公司,978-7-5139-2204-3,2018,B848.4-49,B848.4-49/821,9994
上海犹太流亡报刊文选,张帆，徐冠群主,世界知识出版社,978-7-5012-6110-9,2019,I11,I11/107,9993
货代作业实务,李秀华,机械工业出版社,978-7-111-21619-3,2007,F512.41,F506/2,99920
大崩盘 : 金融衍生品的灾难 : from theory to malpractice,(法)Laurent L. Jacque,电子工业出版社,978-7-121-33826-7,2018,F830.95,F830.95/3,9992
青年与新时代中国特色社会主义 : 第一届江西省大学生学习习近平新时代中国特色社会主义思想交流会论文集,周利生，肖华平主,红旗出版社,978-7-5051-4849-9,2019,D610-53,D610-53/1,9991
鬼谷子旷世经略. 下,兰彦岭,线装书局,978-7-5120-3178-4,2018,B228.05,B228.05/10：2,9990
鬼谷子旷世经略. 上,兰彦岭,线装书局,978-7-5120-3178-4,2018,B228.05,B228.05/10：1,9989
新编计算机应用基础案例教程,袁春花，王亚军，王洁松主,吉林大学出版社,978-7-5601-4412-2,2009,TP39,TP39/81,99881
海韵岚山,秦幸福,山东人民出版社,978-7-209-11295-6,2018,I267.4,I267.4/121,9988
读朱随笔. [影印本],(清)陆陇其撰,中国书店,978-7-5149-1878-6,2018,I264.9,I264.9/14,9987
半步情错. 下,爱已凉,青岛出版社,978-7-5552-6628-0,2018,I247.57,I247.57/2621：2,9986
健康生活比吃药更管用,韩彪,中国华侨出版社,978-7-80222-999-0,2010,R163,R163/7,99859
潮汕商人赚钱全凭真本事,张俊杰,石油工业出版社,978-7-5021-7110-0,2009,F715,F715/95,99853
半步情错. 上,爱已凉,青岛出版社,978-7-5552-6628-0,2018,I247.57,I247.57/2621：1,9985
把悲伤留给自己,谭波选,湖南人民出版社,978-7-5438-6253-1,2010,I247.8,I247.8/1,99841
二手生活,纪静蓉,江苏凤凰文艺出版社,978-7-5594-3921-5,2019,I247.57,I247.57/2620,9984
榕花满校园,罗英主,海天出版社,978-7-80615-976-7,1999,I267,I267/97,99835
时间在左，尘缘在右,苏心,青岛出版社,978-7-5552-8227-3,2019,I267.1,I267.1/524,9983
正经深情,七宝酥,江苏凤凰文艺出版社,978-7-5594-1394-9,2018,I247.57,I247.57/2619,9982
看风景的女孩,黄非红,大众文艺出版社,978-7-80240-639-1,2010,I247.8,I247.8/193,99819
怀念一双手,杨海林,大众文艺出版社,978-7-80240-652-0,2010,I247.8,I247.8/193,99813
唐诗宋词元曲. 中,朱丽翠译,吉林文史出版社,978-7-5472-4707-5,2018,I222.742,I222.742/80：2,9981
唐诗宋词元曲. 下,朱丽翠译,吉林文史出版社,978-7-5472-4707-5,2018,I222.742,I222.742/80：3,9980
唐诗宋词元曲. 上,朱丽翠译,吉林文史出版社,978-7-5472-4707-5,2018,I222.742,I222.742/80：1,9979
谈谈情 探探案,,天津人民出版社,978-7-201-13580-9,2018,I247.56,I247.56/238,9978
行书研习与欣赏,邵永儒,京华出版社,978-7-80724-933-7,2010,J292.113.5,J292.113.5/1,99773
新儿女英雄传,袁静，孔厥,时代文艺出版社,978-7-5387-2633-6,2009,I247.52,I247.52/27,99772
教师的教育智慧与艺术,马英志,东北师范大学出版社,978-7-5602-6407-3,2010,G451.6,G451.6/48,99771
楷书研习与欣赏,邵永儒,京华出版社,978-7-80724-933-7,2010,J292.113.3,J292.113.3/1,99770
最后的言灵师,莲洛,青岛出版社,978-7-5552-5326-6,2018,I247.57,I247.57/2618,9977
草书研习与欣赏,邵永儒,京华出版社,978-7-80724-933-7,2010,J292.113.4,J292.113.4/1,99769
图说经济学,黄友牛,华文出版社,978-7-5075-2582-3,2009,F0-49,F0-49/14,99767
